TS_UPDATE;USER;bake_id;processing_variable;variable_phase;variable_order;variable_value
2023-01-03 11:02:25;;60;BAKE_temperature_lower;7;2;230
2023-01-03 11:02:25;;60;BAKE_temperature_upper;7;1;237
2023-01-03 11:02:25;;61;BAKE_level;7;3;1
2023-01-03 11:02:26;;61;BAKE_temperature_lower;7;2;230
2023-01-03 11:02:26;;61;BAKE_temperature_upper;7;1;237
2023-01-03 11:02:26;;62;BAKE_level;7;3;2
2023-01-03 11:02:26;;62;BAKE_temperature_lower;7;2;230
2023-01-03 11:02:26;;62;BAKE_temperature_upper;7;1;237
2023-01-03 11:02:26;;63;BAKE_level;7;3;1
2023-01-03 11:02:26;;63;BAKE_temperature_lower;7;2;230
2023-01-03 11:02:26;;63;BAKE_temperature_upper;7;1;237
2023-01-03 11:02:26;;64;BAKE_level;7;3;2
2023-01-03 11:02:26;;64;BAKE_temperature_lower;7;2;230
2023-01-03 11:02:26;;64;BAKE_temperature_upper;7;1;237
2023-01-03 11:02:26;;65;BAKE_level;7;3;1
2023-01-03 11:02:26;;65;BAKE_temperature_lower;7;2;230
2023-01-03 11:02:26;;65;BAKE_temperature_upper;7;1;237
2023-01-03 11:02:26;;66;BAKE_level;7;3;1
2023-01-03 11:02:26;;66;BAKE_temperature_lower;7;2;230
2023-01-03 11:02:26;;66;BAKE_temperature_upper;7;1;240
2023-01-03 11:02:26;;67;BAKE_level;7;3;2
2023-01-03 11:02:26;;67;BAKE_temperature_lower;7;2;230
2023-01-03 11:02:26;;67;BAKE_temperature_upper;7;1;240
2023-01-03 11:02:26;;68;BAKE_level;7;3;1
2023-01-03 11:02:26;;68;BAKE_temperature_lower;7;2;230
2023-01-03 11:02:26;;68;BAKE_temperature_upper;7;1;240
2023-01-03 11:02:26;;69;BAKE_level;7;3;2
2023-01-03 11:02:26;;69;BAKE_temperature_lower;7;2;230
2023-01-03 11:02:26;;69;BAKE_temperature_upper;7;1;240
2023-01-03 11:02:26;;7;BAKE_level;7;3;1
2023-01-03 11:02:26;;7;BAKE_temperature_lower;7;2;202
2023-01-03 11:02:26;;7;BAKE_temperature_upper;7;1;183
2023-01-03 11:02:26;;70;BAKE_level;7;3;1
2023-01-03 11:02:26;;70;BAKE_temperature_lower;7;2;230
