TS_UPDATE;USER;dough_id;form_id;make_id;production_dstart;knead_tstart;knead_tstop;bulk_tstart;bulk_dstop;bulk_tstop;final_tstart;final_dstop;final_tstop;baker;storage_id
2022-11-30 17:27:27;;DO100;85;41;2022-09-28 00:00:00;10:45:00;11:01:00;11:04:00;2022-09-28 00:00:00;11:19:00;11:48:00;2022-09-28 00:00:00;12:03:00;SAT;
2022-11-30 17:27:27;;DO101;86;42;2022-09-28 00:00:00;12:00:00;12:07:00;12:10:00;2022-09-28 00:00:00;12:25:00;12:49:00;2022-09-28 00:00:00;13:04:00;SAT;
2022-11-30 17:27:27;;DO104;87;45;2022-09-29 00:00:00;09:15:00;09:30:00;09:33:00;2022-09-29 00:00:00;10:33:00;10:58:00;2022-09-29 00:00:00;11:13:00;SAT;
2022-11-30 17:27:27;;DO105;88;46;2022-09-29 00:00:00;11:00:00;11:12:00;11:15:00;2022-09-29 00:00:00;11:30:00;11:51:00;2022-09-29 00:00:00;12:51:00;SAT;
2022-11-30 17:27:27;;DO106;89;47;2022-09-29 00:00:00;11:30:00;11:45:00;11:48:00;2022-09-29 00:00:00;12:03:00;12:24:00;2022-09-29 00:00:00;13:24:00;SAT;
2022-11-30 17:27:27;;DO107;90;48;2022-10-05 00:00:00;08:00:00;08:12:00;08:15:00;2022-10-05 00:00:00;14:15:00;14:39:00;2022-10-05 00:00:00;14:54:00;SAT;
2022-11-30 17:27:27;;DO108;91;49;2022-10-05 00:00:00;08:35:00;08:46:00;08:49:00;2022-10-05 00:00:00;09:49:00;10:13:00;2022-10-05 00:00:00;15:28:00;SAT;
2022-11-30 17:27:27;;DO109;92;50;2022-10-05 00:00:00;08:52:00;09:13:00;09:16:00;2022-10-05 00:00:00;15:16:00;15:41:00;2022-10-05 00:00:00;15:56:00;SAT;
2022-11-30 17:27:27;;DO110;93;51;2022-10-06 00:00:00;09:15:00;09:27:00;09:30:00;2022-10-06 00:00:00;10:30:00;10:59:00;2022-10-06 00:00:00;11:59:00;SAT;
2022-11-30 17:27:27;;DO111;94;52;2022-10-06 00:00:00;10:14:00;10:21:00;10:24:00;2022-10-06 00:00:00;11:24:00;11:54:00;2022-10-06 00:00:00;12:56:00;SAT;
2022-11-30 17:27:27;;DO112;95;53;2022-10-06 00:00:00;11:03:00;11:12:00;11:15:00;2022-10-06 00:00:00;12:15:00;12:39:00;2022-10-06 00:00:00;13:38:00;SAT;
2022-11-30 17:27:27;;DO113;96;54;2022-10-12 00:00:00;08:30:00;08:38:00;08:41:00;2022-10-12 00:00:00;14:41:00;15:09:00;2022-10-13 00:00:00;12:09:00;SAT;
2022-11-30 17:27:27;;DO114;97;55;2022-10-12 00:00:00;09:30:00;09:41:00;09:44:00;2022-10-12 00:00:00;12:44:00;13:13:00;2022-10-13 00:00:00;13:13:00;SAT;
2022-11-30 17:27:27;;DO115;98;56;2022-10-12 00:00:00;10:00:00;10:07:00;10:10:00;2022-10-13 00:00:00;10:10:00;10:35:00;2022-10-13 00:00:00;13:35:00;SAT;
2022-11-30 17:27:27;;DO116;99;57;2022-10-13 00:00:00;09:20:00;09:32:00;09:35:00;2022-10-13 00:00:00;09:52:00;10:17:00;2022-10-13 00:00:00;11:17:00;SAT;
2022-11-30 17:27:27;;DO117;100;58;2022-10-13 00:00:00;10:15:00;10:30:00;10:33:00;2022-10-13 00:00:00;11:33:00;12:02:00;2022-10-13 00:00:00;12:17:00;SAT;
2022-11-30 17:27:28;;DO118;101;59;2022-10-13 00:00:00;12:15:00;12:29:00;12:32:00;2022-10-13 00:00:00;12:47:00;13:14:00;2022-10-13 00:00:00;14:14:00;SAT;
2022-11-30 17:27:28;;DO119;102;60;2022-10-19 00:00:00;08:50:00;09:06:00;09:09:00;2022-10-19 00:00:00;09:24:00;09:53:00;2022-10-19 00:00:00;11:38:00;SAT;
2022-11-30 17:27:28;;DO120;103;61;2022-10-19 00:00:00;09:49:00;09:57:00;10:00:00;2022-10-19 00:00:00;10:15:00;10:41:00;2022-10-19 00:00:00;12:26:00;SAT;
2022-11-30 17:27:28;;DO121;104;62;2022-10-19 00:00:00;10:15:00;10:31:00;10:34:00;2022-10-19 00:00:00;11:34:00;11:56:00;2022-10-19 00:00:00;12:56:00;SAT;
2022-11-30 17:27:28;;DO122;105;63;2022-10-20 00:00:00;09:15:00;09:32:00;09:35:00;2022-10-20 00:00:00;09:50:00;10:14:00;2022-10-20 00:00:00;10:29:00;SAT;
2022-11-30 17:27:28;;DO123;106;64;2022-10-20 00:00:00;10:30:00;10:37:00;10:40:00;2022-10-20 00:00:00;10:55:00;11:20:00;2022-10-20 00:00:00;11:35:00;SAT;
2022-11-30 17:27:28;;DO124;107;65;2022-10-20 00:00:00;11:45:00;11:52:00;11:55:00;2022-10-20 00:00:00;12:10:00;12:39:00;2022-10-20 00:00:00;12:54:00;SAT;
2022-11-30 17:27:28;;DO125;108;66;2022-11-17 00:00:00;09:04:00;09:19:00;09:22:00;2022-11-17 00:00:00;12:22:00;12:51:00;2022-11-17 00:00:00;13:51:00;SAT;
2022-11-30 17:27:28;;DO126;109;67;2022-11-17 00:00:00;09:45:00;09:57:00;10:00:00;2022-11-17 00:00:00;13:00:00;13:29:00;2022-11-17 00:00:00;14:29:00;SAT;
2022-11-30 17:27:28;;DO127;110;68;2022-11-17 00:00:00;10:40:00;10:47:00;10:50:00;2022-11-17 00:00:00;13:50:00;14:19:00;2022-11-17 00:00:00;15:19:00;SAT;
2022-11-30 17:27:28;;DO128;111;69;2022-11-18 00:00:00;08:00:00;08:10:00;08:13:00;2022-11-18 00:00:00;11:22:00;11:47:00;2022-11-18 00:00:00;14:47:00;SAT;
2022-11-30 17:27:28;;DO129;112;70;2022-11-18 00:00:00;08:30:00;08:37:00;08:40:00;2022-11-18 00:00:00;08:55:00;09:24:00;2022-11-18 00:00:00;15:09:00;SAT;
2022-11-30 17:27:28;;DO130;113;71;2022-11-18 00:00:00;09:08:00;09:23:00;09:26:00;2022-11-18 00:00:00;12:26:00;12:55:00;2022-11-18 00:00:00;15:55:00;SAT;
2022-11-30 17:27:28;;DO133;114;74;2022-11-23 00:00:00;07:30:00;07:45:00;07:48:00;2022-11-23 00:00:00;08:03:00;08:32:00;2022-11-23 00:00:00;14:32:00;SAT;
2022-11-30 17:27:28;;DO134;115;75;2022-11-23 00:00:00;08:30:00;08:41:00;08:44:00;2022-11-23 00:00:00;11:44:00;12:13:00;2022-11-23 00:00:00;15:28:00;SAT;
2022-11-30 17:27:28;;DO135;116;76;2022-11-23 00:00:00;08:45:00;08:52:00;08:55:00;2022-11-23 00:00:00;14:55:00;15:24:00;2022-11-23 00:00:00;15:39:00;SAT;
2022-11-23 12:32:30;;DO136;117;77;2022-11-24 00:00:00;09:15:00;;;;;;;;;
2022-11-30 17:27:28;;DO137;117;78;2022-11-24 00:00:00;09:00:00;09:09:00;09:12:00;2022-11-24 00:00:00;09:27:00;10:05:00;2022-11-24 00:00:00;11:05:00;SAT;
2022-11-30 17:27:28;;DO138;118;79;2022-11-24 00:00:00;10:00:00;10:09:00;10:12:00;2022-11-24 00:00:00;10:27:00;10:49:00;2022-11-24 00:00:00;11:49:00;SAT;
2022-11-30 17:27:28;;DO139;119;80;2022-11-24 00:00:00;11:15:00;11:29:00;11:32:00;2022-11-24 00:00:00;12:32:00;13:01:00;2022-11-24 00:00:00;13:16:00;SAT;
2022-11-30 17:27:28;;DO47;33;81;2022-04-14 00:00:00;09:15:00;09:25:00;09:28:00;2022-04-14 00:00:00;15:28:00;15:48:00;2022-04-14 00:00:00;16:07:00;SAT;
