TS_UPDATE;USER;bake_id;processing_variable;variable_phase;variable_order;variable_value
2022-05-08 18:35:16;;1;BAKE_steam_cont;1;1;200
2022-05-08 18:35:16;;1;BAKE_steam_time;1;2;25
2022-05-08 18:35:16;;1;BAKE_temp_lower;1;4;230
2022-05-08 18:35:16;;1;BAKE_temp_upper;1;3;230
2022-05-08 18:35:16;;1;BAKE_time;1;5;35
2022-05-08 18:35:16;;1;COOL_temp;2;2;20
2022-05-08 18:35:16;;1;COOL_time;2;1;60
2023-04-21 05:27:20;;10;BAKE_level;7;3;1
2023-04-21 05:27:20;;10;BAKE_temperature_lower;7;2;202
2023-04-21 05:27:20;;10;BAKE_temperature_upper;7;1;183
2023-04-21 05:27:17;;100;BAKE_level;7;3;2
2023-04-21 05:27:17;;100;BAKE_temperature_lower;7;2;230
2023-04-21 05:27:17;;100;BAKE_temperature_upper;7;1;203
2023-04-21 05:27:23;;10000;BAKE_level;7;3;1
2023-04-21 05:27:23;;10000;BAKE_temperature_lower;7;2;230
2023-04-21 05:27:23;;10000;BAKE_temperature_upper;7;1;213
2023-04-21 05:27:23;;10001;BAKE_level;7;3;2
2023-04-21 05:27:23;;10001;BAKE_temperature_lower;7;2;230
2023-04-21 05:27:23;;10001;BAKE_temperature_upper;7;1;213
2023-04-21 05:27:23;;10002;BAKE_level;7;3;1
2023-04-21 05:27:23;;10002;BAKE_temperature_lower;7;2;230
2023-04-21 05:27:23;;10002;BAKE_temperature_upper;7;1;213
2023-04-21 05:27:24;;10003;BAKE_level;7;3;1
2023-04-21 05:27:24;;10003;BAKE_temperature_lower;7;2;230
2023-04-21 05:27:24;;10003;BAKE_temperature_upper;7;1;213
2023-04-21 05:27:24;;10004;BAKE_level;7;3;1
2023-04-21 05:27:24;;10004;BAKE_temperature_lower;7;2;230
2023-04-21 05:27:24;;10004;BAKE_temperature_upper;7;1;213
2023-04-21 05:27:24;;10005;BAKE_level;7;3;1
2023-04-21 05:27:24;;10005;BAKE_temperature_lower;7;2;230
2023-04-21 05:27:24;;10005;BAKE_temperature_upper;7;1;213
2023-04-18 15:18:05;;10006;TBD;1;1;
2023-04-18 15:18:35;;10007;TBD;1;1;
2023-04-18 15:18:46;;10008;TBD;1;1;
2023-04-19 12:18:35;;10009;TBD;1;1;
2023-04-19 12:18:46;;10010;TBD;1;1;
2023-04-19 12:18:56;;10011;TBD;1;1;
2023-04-27 07:30:03;;10012;TBD;1;1;
2023-04-27 07:30:24;;10013;TBD;1;1;
2023-04-27 07:30:35;;10014;TBD;1;1;
2023-05-05 09:32:14;;10015;TBD;1;1;
2023-05-05 09:32:25;;10016;TBD;1;1;
2023-05-05 09:32:37;;10017;TBD;1;1;
2023-05-05 09:34:05;;10018;TBD;1;1;
2023-05-05 09:34:17;;10019;TBD;1;1;
2023-05-05 09:34:29;;10020;TBD;1;1;
2023-04-21 05:27:17;;101;BAKE_level;7;3;1
2023-04-21 05:27:17;;101;BAKE_temperature_lower;7;2;230
2023-04-21 05:27:17;;101;BAKE_temperature_upper;7;1;203
2023-04-21 05:27:17;;102;BAKE_level;7;3;1
2023-04-21 05:27:18;;102;BAKE_temperature_lower;7;2;230
2023-04-21 05:27:18;;102;BAKE_temperature_upper;7;1;213
