TS_UPDATE;USER;make_id;processing_variable;variable_phase;variable_order;variable_value
2023-04-21 05:27:02;;10;PROOF_cabinet;6;3;3
2023-04-21 05:27:02;;10;PROOF_rel_humidity;4;2;55.9
2023-04-21 05:27:02;;10;PROOF_rel_humidity;6;2;76
2023-04-21 05:27:02;;10;PROOF_remarks;6;4;ingevallen en overgelopen deeg
2023-04-21 05:27:02;;10;PROOF_temp;6;1;35
2023-04-21 05:27:02;;10;PROOF_temperature;2;1;<fridge>
2023-04-21 05:27:02;;10;PROOF_temperature;4;1;20.2
2023-04-21 05:26:56;;100;PROOF_rel_humidity;2;2;<uncontrolled>
2023-04-21 05:26:56;;100;PROOF_rel_humidity;4;2;40.700000000000003
2023-04-21 05:26:57;;100;PROOF_rel_humidity;6;2;<uncontrolled>
2023-04-21 05:26:57;;100;PROOF_temp;6;1;5
2023-04-21 05:26:57;;100;PROOF_temperature;2;1;5
2023-04-21 05:26:57;;100;PROOF_temperature;4;1;20.6
2023-04-21 05:27:08;;10000;PROOF_cabinet;6;3;0
2023-04-21 05:27:08;;10000;PROOF_rel_humidity;2;2;<uncontrolled>
2023-04-21 05:27:08;;10000;PROOF_rel_humidity;4;2;41.2
2023-04-21 05:27:08;;10000;PROOF_rel_humidity;6;2;<uncontrolled>
2023-04-21 05:27:08;;10000;PROOF_temp;6;1;5
2023-04-21 05:27:08;;10000;PROOF_temperature;2;1;4
2023-04-21 05:27:08;;10000;PROOF_temperature;4;1;21
2023-04-21 05:27:08;;10001;PROOF_cabinet;6;3;3
2023-04-21 05:27:08;;10001;PROOF_rel_humidity;2;2;<uncontrolled>
2023-04-21 05:27:08;;10001;PROOF_rel_humidity;4;2;43
2023-04-21 05:27:08;;10001;PROOF_rel_humidity;6;2;88
2023-04-21 05:27:08;;10001;PROOF_remarks;6;4;broden hebben terugval na narijs bij vervoeren van rijskast naar oven.
2023-04-21 05:27:08;;10001;PROOF_temp;6;1;20
2023-04-21 05:27:08;;10001;PROOF_temperature;2;1;5
2023-04-21 05:27:08;;10001;PROOF_temperature;4;1;19.1
2023-04-21 05:27:08;;10002;PROOF_cabinet;6;3;2
2023-04-21 05:27:08;;10002;PROOF_rel_humidity;2;2;<uncontrolled>
2023-04-21 05:27:08;;10002;PROOF_rel_humidity;4;2;41.5
2023-04-21 05:27:08;;10002;PROOF_rel_humidity;6;2;50
2023-04-21 05:27:08;;10002;PROOF_temp;6;1;20
2023-04-21 05:27:08;;10002;PROOF_temperature;2;1;5
2023-04-21 05:27:08;;10002;PROOF_temperature;4;1;20.8
2023-04-21 05:27:08;;10003;PROOF_rel_humidity;2;2;<uncontrolled>
2023-04-21 05:27:08;;10003;PROOF_rel_humidity;4;2;<logger>
2023-04-21 05:27:08;;10003;PROOF_rel_humidity;6;2;92
2023-04-21 05:27:08;;10003;PROOF_temp;6;1;35
2023-04-21 05:27:08;;10003;PROOF_temperature;2;1;<fridge temp>
2023-04-21 05:27:08;;10003;PROOF_temperature;4;1;<logger>
2023-04-21 05:27:08;;10004;PROOF_rel_humidity;2;2;<uncontrolled>
2023-04-21 05:27:08;;10004;PROOF_rel_humidity;4;2;<logger>
2023-04-21 05:27:08;;10004;PROOF_rel_humidity;6;2;88
2023-04-21 05:27:08;;10004;PROOF_temp;6;1;35
2023-04-21 05:27:08;;10004;PROOF_temperature;2;1;<fridge temp>
2023-04-21 05:27:08;;10004;PROOF_temperature;4;1;<logger>
2023-04-21 05:27:08;;10005;PROOF_rel_humidity;2;2;<logger>
2023-04-21 05:27:08;;10005;PROOF_rel_humidity;4;2;<logger>
2023-04-21 05:27:08;;10005;PROOF_rel_humidity;6;2;92
2023-04-21 05:27:08;;10005;PROOF_temp;6;1;20
2023-04-21 05:27:08;;10005;PROOF_temperature;2;1;<logger>
2023-04-21 05:27:08;;10005;PROOF_temperature;4;1;<logger>
2023-04-18 15:18:01;;10006;TBD;1;1;
2023-04-18 15:18:31;;10007;TBD;1;1;
2023-04-18 15:18:43;;10008;TBD;1;1;
2023-04-19 12:18:32;;10009;TBD;1;1;
2023-04-19 12:18:42;;10010;TBD;1;1;
2023-04-19 12:18:53;;10011;TBD;1;1;
2023-04-27 07:29:59;;10012;TBD;1;1;
2023-04-27 07:30:21;;10013;TBD;1;1;
2023-04-27 07:30:32;;10014;TBD;1;1;
2023-05-05 09:32:10;;10015;TBD;1;1;
2023-05-05 09:32:22;;10016;TBD;1;1;
2023-05-05 09:32:33;;10017;TBD;1;1;
2023-05-05 09:34:01;;10018;TBD;1;1;
2023-05-05 09:34:14;;10019;TBD;1;1;
2023-05-05 09:34:26;;10020;TBD;1;1;
2023-04-21 05:26:57;;101;PROOF_rel_humidity;2;2;40.4
2023-04-21 05:26:57;;101;PROOF_rel_humidity;4;2;40.9
2023-04-21 05:26:57;;101;PROOF_rel_humidity;6;2;<uncontrolled>
2023-04-21 05:26:57;;101;PROOF_temp;6;1;5
2023-04-21 05:26:57;;101;PROOF_temperature;2;1;20.9
2023-04-21 05:26:57;;101;PROOF_temperature;4;1;20.3
2023-04-21 05:26:57;;102;PROOF_rel_humidity;2;2;<uncontrolled>
2023-04-21 05:26:57;;102;PROOF_rel_humidity;4;2;<logger>
2023-04-21 05:26:57;;102;PROOF_rel_humidity;6;2;<uncontrolled>
2023-04-21 05:26:57;;102;PROOF_temp;6;1;5
2023-04-21 05:26:57;;102;PROOF_temperature;2;1;4
2023-04-21 05:26:57;;102;PROOF_temperature;4;1;<logger>
2023-04-21 05:26:57;;103;PROOF_cabinet;6;3;2
2023-04-21 05:26:57;;103;PROOF_rel_humidity;2;2;32.3
2023-04-21 05:26:57;;103;PROOF_rel_humidity;4;2;33.8
2023-04-21 05:26:57;;103;PROOF_rel_humidity;6;2;52
2023-04-21 05:26:57;;103;PROOF_temp;6;1;20
2023-04-21 05:26:57;;103;PROOF_temperature;2;1;20.4
2023-04-21 05:26:57;;103;PROOF_temperature;4;1;20.8
2023-04-21 05:26:57;;104;PROOF_cabinet;6;3;3
2023-04-21 05:26:57;;104;PROOF_rel_humidity;2;2;34.4
2023-04-21 05:26:57;;104;PROOF_rel_humidity;4;2;33.7
2023-04-21 05:26:57;;104;PROOF_rel_humidity;6;2;92
2023-04-21 05:26:57;;104;PROOF_temp;6;1;20
2023-04-21 05:26:57;;104;PROOF_temperature;2;1;20.9
2023-04-21 05:26:57;;104;PROOF_temperature;4;1;21.2
2023-04-21 05:26:57;;105;PROOF_cabinet;6;3;2
2023-04-21 05:26:57;;105;PROOF_rel_humidity;2;2;<uncontrolled>
2023-04-21 05:26:57;;105;PROOF_rel_humidity;4;2;31.7
2023-04-21 05:26:57;;105;PROOF_rel_humidity;6;2;50
2023-04-21 05:26:57;;105;PROOF_temp;6;1;20
2023-04-21 05:26:57;;105;PROOF_temperature;2;1;5
2023-04-21 05:26:57;;105;PROOF_temperature;4;1;21.4
2023-04-21 05:26:57;;106;PROOF_cabinet;6;3;3
2023-04-21 05:26:57;;106;PROOF_rel_humidity;2;2;45.5
2023-04-21 05:26:57;;106;PROOF_rel_humidity;4;2;45.8
2023-04-21 05:26:57;;106;PROOF_rel_humidity;6;2;90
2023-04-21 05:26:57;;106;PROOF_temp;6;1;20
2023-04-21 05:26:57;;106;PROOF_temperature;2;1;20.6
2023-04-21 05:26:57;;106;PROOF_temperature;4;1;21.5
2023-04-21 05:26:57;;107;PROOF_cabinet;6;3;2
2023-04-21 05:26:57;;107;PROOF_rel_humidity;2;2;44.3
2023-04-21 05:26:57;;107;PROOF_rel_humidity;4;2;43.3
2023-04-21 05:26:57;;107;PROOF_rel_humidity;6;2;84
2023-04-21 05:26:57;;107;PROOF_temp;6;1;20
2023-04-21 05:26:57;;107;PROOF_temperature;2;1;21
2023-04-21 05:26:57;;107;PROOF_temperature;4;1;20.8
2023-04-21 05:26:57;;108;PROOF_cabinet;6;3;1
2023-04-21 05:26:57;;108;PROOF_rel_humidity;2;2;44.5
2023-04-21 05:26:57;;108;PROOF_rel_humidity;4;2;39.9
2023-04-21 05:26:57;;108;PROOF_rel_humidity;6;2;77
2023-04-21 05:26:57;;108;PROOF_remarks;6;4;rijskast 1 is rijskast in B&B lokaal ( Wouter)
2023-04-21 05:26:57;;108;PROOF_temp;6;1;20
2023-04-21 05:26:57;;108;PROOF_temperature;2;1;21.3
2023-04-21 05:26:57;;108;PROOF_temperature;4;1;20.9
2023-04-21 05:26:57;;109;PROOF_cabinet;6;3;2
