TS_UPDATE;USER;bt_id;dough_id;bake_id;bake_dstart;bake_tstart;bake_tstop;floor;baker;storage_id
2023-04-12 06:59:12;;BT100;DO129;70;2022-11-18 00:00:00;15:14:00;15:46:00;1;SAT;
2023-04-12 06:59:12;;BT101;DO130;71;2022-11-18 00:00:00;16:00:00;16:32:00;1;SAT;
2023-04-12 06:59:12;;BT104;DO133;74;2022-11-23 00:00:00;14:37:00;15:26:00;1;SAT;
2023-04-12 06:59:12;;BT105;DO134;75;2022-11-23 00:00:00;15:33:00;16:14:00;2;SAT;
2023-04-12 06:59:12;;BT106;DO135;76;2022-11-23 00:00:00;15:44:00;16:24:00;1;SAT;
2023-04-12 06:59:12;;BT107;DO137;77;2022-11-24 00:00:00;11:10:00;11:42:00;1;SAT;
2023-04-12 06:59:12;;BT108;DO138;78;2022-11-24 00:00:00;11:51:00;12:41:00;2;SAT;
2023-04-12 06:59:12;;BT109;DO139;79;2022-11-24 00:00:00;13:21:00;13:53:00;2;SAT;
2023-04-12 06:59:12;;BT110;DO141;96;2023-01-19 00:00:00;10:37:00;11:19:00;1;SAT;
2023-04-12 06:59:12;;BT111;DO142;97;2023-01-19 00:00:00;11:27:00;12:09:00;2;SAT;
2023-04-12 06:59:12;;BT112;DO143;98;2023-01-19 00:00:00;12:55:00;13:37:00;;SAT;
2023-04-12 06:59:12;;BT113;DO144;99;2023-01-20 00:00:00;15:40:00;16:22:00;1;SAT;
2023-04-12 06:59:12;;BT114;DO145;100;2023-01-20 00:00:00;16:07:00;16:49:00;2;SAT;
2023-01-19 16:40:13;;BT115;DO146;101;2023-01-20 00:00:00;16:38:00;17:20:00;1;SAT;
2023-04-12 06:59:12;;BT116;DO147;102;2023-01-26 00:00:00;09:55:00;10:35:00;1;SAT;
2023-04-12 06:59:12;;BT117;DO148;103;2023-01-26 00:00:00;11:17:00;11:56:00;2;SAT;
2023-04-12 06:59:12;;BT118;DO149;104;2023-01-26 00:00:00;13:03:00;13:37:00;1;SAT;
2023-04-12 06:59:12;;BT119;DO150;105;2023-01-27 00:00:00;10:25:00;11:15:00;1;SAT;
2023-04-12 06:59:12;;BT120;DO151;106;2023-01-27 00:00:00;12:39:00;13:16:00;1;SAT;
2023-04-12 06:59:12;;BT121;DO152;107;2023-01-27 00:00:00;14:05:00;14:45:00;;SAT;
2023-04-12 06:59:12;;BT122;DO153;108;2023-02-02 00:00:00;15:14:00;15:54:00;1;SAT;
2023-04-12 06:59:12;;BT123;DO154;109;2023-02-02 00:00:00;15:44:00;16:34:00;2;SAT;
2023-04-12 06:59:12;;BT124;DO155;110;2023-02-02 00:00:00;16:06:00;16:38:00;1;SAT;
2023-04-12 06:59:12;;BT125;DO156;111;2023-02-03 00:00:00;06:15:00;06:59:00;1;SAT;
2023-04-12 06:59:12;;BT126;DO157;112;2023-02-03 00:00:00;09:14:00;09:57:00;1;SAT;
